EpThisIter,EpisodesSoFar,entloss,TimestepsSoFar,EpRewMean,entropy,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,optimgain,meankl
20,15728,0.0,786400,-5.593280317394431,-3.7489626,50.0,361.0744948387146,0.9479368962347507,0.04722006,0.04722006,0.009928143
21,15749,0.0,787450,-6.058610877235743,-3.748757,50.0,361.546838760376,0.9735887441784143,0.026665445,0.026665445,0.01033639
20,15769,0.0,788450,-5.410951681150451,-3.7484674,50.0,362.0007526874542,0.9630315415561199,0.03780499,0.03780499,0.009822303
21,15790,0.0,789500,-5.74670490275877,-3.7496953,50.0,362.4470262527466,0.970688670873642,0.042087205,0.042087205,0.010908301
20,15810,0.0,790500,-5.330351755356426,-3.7541177,50.0,362.9065270423889,0.9488556645810604,0.02702976,0.02702976,0.011370113
21,15831,0.0,791550,-5.18249666479155,-3.753532,50.0,363.36714339256287,0.973162055015564,0.052075557,0.052075557,0.010866482
20,15851,0.0,792550,-5.357456662513378,-3.7600932,50.0,363.819109916687,0.9756200648844242,0.025471443,0.025471443,0.009993537
21,15872,0.0,793600,-5.208317101215451,-3.7610536,50.0,364.2782337665558,0.97122473269701,0.031383965,0.031383965,0.009981864
20,15892,0.0,794600,-4.897672769153063,-3.7620912,50.0,364.736611366272,0.9696410596370697,0.034631975,0.034631975,0.010157321
20,15912,0.0,795600,-4.894699875171168,-3.7624273,50.0,365.21280097961426,0.9641340635716915,0.035276584,0.035276584,0.013034029
21,15933,0.0,796650,-5.310232649944817,-3.7632828,50.0,365.67030453681946,0.9775241520255804,0.042351864,0.042351864,0.011543394
20,15953,0.0,797650,-5.334275698174251,-3.7609258,50.0,366.1296875476837,0.9781854171305895,0.030168375,0.030168375,0.01102582
21,15974,0.0,798700,-5.179346971720382,-3.7614424,50.0,366.5894513130188,0.959630448371172,0.04452257,0.04452257,0.010408502
20,15994,0.0,799700,-4.629049447524255,-3.7667618,50.0,367.0531756877899,0.9739433191716671,0.037873223,0.037873223,0.008711275
21,16015,0.0,800750,-4.858184930678509,-3.7666316,50.0,367.52431869506836,0.974127758294344,0.01690129,0.01690129,0.003998016
20,16035,0.0,801750,-4.761845293728561,-3.7671142,50.0,367.9864046573639,0.9731536898761988,0.038578574,0.038578574,0.010265283
