policy_entropy,eprewmean,clipfrac,fps,time_elapsed,eplenmean,nupdates,value_loss,approxkl,serial_timesteps,explained_variance,total_timesteps,policy_loss
1.1104546,4.85,0.1262207,881,182.02049851417542,292.04,155,0.02195213,0.0023118497,19840,0.8228848874568939,158720,-0.007595312
1.1337814,4.89,0.15185547,937,183.11368536949158,292.01,156,0.04072807,0.002408634,19968,0.7128212153911591,159744,-0.0060568685
1.0711675,5.11,0.1352539,884,184.27175331115723,298.73,157,0.021499017,0.0024126861,20096,0.8211206048727036,160768,-0.0077211666
1.1044263,5.16,0.13916016,606,185.9610834121704,301.12,158,0.026008215,0.0025614768,20224,0.7371068596839905,161792,-0.00850104
1.0921171,5.21,0.12768555,794,187.2511169910431,298.38,159,0.031866387,0.0020688889,20352,0.7286609709262848,162816,-0.0067924703
1.1239866,5.36,0.103027344,905,188.38185000419617,301.67,160,0.03322783,0.001942379,20480,0.7843486070632935,163840,-0.006130225
1.1059934,5.42,0.15283203,920,189.49418997764587,303.32,161,0.03444451,0.003087362,20608,0.7612372636795044,164864,-0.009410453
1.1020001,5.43,0.13964844,848,190.7018961906433,303.8,162,0.03515627,0.0023347358,20736,0.7038366794586182,165888,-0.009086528
1.1240876,5.44,0.20996094,960,191.76861000061035,304.59,163,0.026969349,0.004625244,20864,0.8179682642221451,166912,-0.0032143472
1.1290824,5.64,0.111083984,904,192.90123677253723,309.17,164,0.037418257,0.0021131583,20992,0.6684231460094452,167936,-0.0071503744
1.1153159,5.75,0.09863281,931,194.0005784034729,313.65,165,0.031652823,0.001833715,21120,0.6894291341304779,168960,-0.0080789765
1.097365,5.82,0.15136719,916,195.1182417869568,315.18,166,0.03551183,0.0027289104,21248,0.6966599524021149,169984,-0.0069140475
1.1104211,5.92,0.123291016,919,196.23209691047668,318.59,167,0.02947073,0.002521836,21376,0.7537682950496674,171008,-0.0071984534
1.092731,5.99,0.07470703,917,197.35270261764526,320.88,168,0.033257853,0.0014251644,21504,0.7480680644512177,172032,-0.005921896
1.0839124,6.18,0.092285156,916,198.4699809551239,322.73,169,0.037763283,0.0018314205,21632,0.7345052361488342,173056,-0.007539863
1.1084543,6.18,0.12670898,907,199.5983543395996,322.56,170,0.02520961,0.0021178043,21760,0.7089509963989258,174080,-0.008023443
1.1127623,6.46,0.15698242,887,200.752827167511,330.57,171,0.031112883,0.0027393196,21888,0.7852525860071182,175104,-0.008029103
1.1144304,6.6,0.092041016,926,201.85805010795593,336.14,172,0.0284493,0.0021623673,22016,0.7757513672113419,176128,-0.00813813
1.0491567,6.58,0.11035156,919,202.9721863269806,335.67,173,0.03261861,0.0018806034,22144,0.7063880860805511,177152,-0.006538892
1.1188434,6.6,0.10205078,950,204.04937720298767,336.75,174,0.03636297,0.002055728,22272,0.5582414865493774,178176,-0.007343238
1.1253055,6.74,0.16870117,926,205.15491795539856,341.19,175,0.034582816,0.0033695747,22400,0.5961821377277374,179200,-0.0063614887
1.0881927,6.88,0.1484375,858,206.34870409965515,347.96,176,0.041242912,0.0030322457,22528,0.581137627363205,180224,-0.00872638
1.0693337,7.04,0.15234375,897,207.4902424812317,353.27,177,0.037383325,0.0025591808,22656,0.6746006011962891,181248,-0.008499164
1.049778,6.98,0.13012695,948,208.569753408432,352.64,178,0.040938277,0.0025010034,22784,0.6576180458068848,182272,-0.00921833
1.0295873,7.03,0.122558594,928,209.67243242263794,352.93,179,0.032240152,0.0022163515,22912,0.705592155456543,183296,-0.0073585915
1.0450617,6.95,0.1862793,929,210.77406454086304,352.89,180,0.02062323,0.003327429,23040,0.8610474318265915,184320,-0.0062038936
1.0487094,6.95,0.103271484,941,211.86167192459106,352.89,181,0.028157687,0.002129075,23168,0.7256285548210144,185344,-0.0059037614
1.0731463,7.13,0.12988281,893,213.00849986076355,357.96,182,0.03685805,0.0023255995,23296,0.5962764918804169,186368,-0.0047733486
1.065164,7.47,0.14282227,798,214.29154777526855,367.97,183,0.02578422,0.0024769052,23424,0.8064293265342712,187392,-0.0073611727
1.0585921,7.59,0.13134766,951,215.36806416511536,369.7,184,0.029805679,0.0024599757,23552,0.7384819090366364,188416,-0.0075477636
1.0463645,7.64,0.12841797,912,216.4901316165924,369.52,185,0.026037283,0.0024920877,23680,0.7619216442108154,189440,-0.008343796
1.0313923,7.8,0.0925293,894,217.63512206077576,375.44,186,0.023847835,0.0016473416,23808,0.8134207725524902,190464,-0.0071231197
0.99874526,7.87,0.114990234,949,218.71397233009338,378.1,187,0.03358592,0.002193571,23936,0.7909881621599197,191488,-0.006126953
1.0039059,7.92,0.13842773,927,219.81843996047974,380.5,188,0.030083502,0.0024249405,24064,0.7115436792373657,192512,-0.007734231
1.0649418,7.93,0.20654297,923,220.9275987148285,380.21,189,0.03894966,0.0040082987,24192,0.7382757067680359,193536,-0.0019428567
1.0280757,7.96,0.17578125,945,222.01148796081543,380.07,190,0.029264715,0.003470242,24320,0.7780873328447342,194560,-0.0064257947
1.0481745,8.1,0.14624023,908,223.1388156414032,381.36,191,0.035494994,0.002834999,24448,0.6755453944206238,195584,-0.005325317
1.027041,8.16,0.15625,930,224.23984718322754,381.34,192,0.037749328,0.0026909471,24576,0.7373761236667633,196608,-0.009260638
1.0155858,8.14,0.13671875,897,225.38153791427612,381.48,193,0.037607625,0.0023159268,24704,0.750293418765068,197632,-0.009793607
1.0002983,8.13,0.10180664,925,226.48827981948853,379.31,194,0.030434843,0.002302716,24832,0.7441212236881256,198656,-0.008103554
1.0435041,8.23,0.15576172,798,227.77182006835938,384.22,195,0.035780232,0.0025475547,24960,0.7179532945156097,199680,-0.008217915
